medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	ethnicity
141551000000117	Tamil - ethnic category 2001 census	9iA5	9iA5.00	92671000000101	Ethnicity
141561000000119	British Asian - ethnic category 2001 census	9iA8	9iA8.00	92681000000104	Ethnicity
141571000000114	Caribbean Asian - ethnic category 2001 census	9iA7	9iA7.00	92691000000102	Ethnicity
937651000006117	Other Asian or Asian unspecified ethnic category 2001 census	9iAA	9iAA.00	92701000000102	Ethnicity
141591000000113	Somali - ethnic category 2001 census	9iD0	9iD0.00	92711000000100	Ethnicity
158371000000111	Mixed Black - ethnic category 2001 census	9iD3	9iD3.00	92721000000106	Ethnicity
141601000000119	Nigerian - ethnic category 2001 census	9iD1	9iD1.00	92731000000108	Ethnicity
937731000006115	Other Black or Black unspecified ethnic category 2001 census	9iD4	9iD4.00	92741000000104	Ethnicity
141621000000111	Vietnamese - ethnic category 2001 census	9iF0	9iF0.00	92751000000101	Ethnicity
141631000000113	Japanese - ethnic category 2001 census	9iF1	9iF1.00	92761000000103	Ethnicity
141641000000116	Filipino - ethnic category 2001 census	9iF2	9iF2.00	92771000000105	Ethnicity
141651000000118	Malaysian - ethnic category 2001 census	9iF3	9iF3.00	92781000000107	Ethnicity
141661000000115	Cypriot (part not stated) - ethnic category 2001 census	9i26	9i26.00	92791000000109	Ethnicity
142691000000116	Ulster Scots - ethnic category 2001 census	9i25	9i25.00	93921000000101	Ethnicity
142701000000116	Greek - ethnic category 2001 census	9i27	9i27.00	93931000000104	Ethnicity
142711000000119	Greek Cypriot - ethnic category 2001 census	9i28	9i28.00	93941000000108	Ethnicity
142721000000113	Turkish Cypriot - ethnic category 2001 census	9i2A	9i2A.00	93951000000106	Ethnicity
158481000000115	Italian - ethnic category 2001 census	9i2B	9i2B.00	93961000000109	Ethnicity
142741000000118	Kosovan - ethnic category 2001 census	9i2J	9i2J.00	93981000000100	Ethnicity
142751000000115	Bosnian - ethnic category 2001 census	9i2L	9i2L.00	93991000000103	Ethnicity
142761000000117	Croatian - ethnic category 2001 census	9i2M	9i2M.00	94001000000108	Ethnicity
937371000006116	Other republics former Yugoslavia - ethnic categ 2001 census	9i2P	9i2P.00	94011000000105	Ethnicity
142781000000114	Mixed Irish and other White - ethnic category 2001 census	9i2Q	9i2Q.00	94021000000104	Ethnicity
142791000000111	Other mixed White - ethnic category 2001 census	9i2S	9i2S.00	94031000000102	Ethnicity
937391000006115	Oth White European/European unsp/Mixed European 2001 census	9i2R	9i2R.00	94041000000106	Ethnicity
937411000006115	Other White or White unspecified ethnic category 2001 census	9i2T	9i2T.00	94051000000109	Ethnicity
142811000000112	North African - ethnic category 2001 census	9iFA	9iFA.00	94061000000107	Ethnicity
937871000006114	Mid East (excl Israeli, Iranian & Arab) - eth cat 2001 cens	9iFB	9iFB.00	94071000000100	Ethnicity
142831000000116	Israeli - ethnic category 2001 census	9iFC	9iFC.00	94081000000103	Ethnicity
142841000000113	Kurdish - ethnic category 2001 census	9iFE	9iFE.00	94091000000101	Ethnicity
142851000000111	Moroccan - ethnic category 2001 census	9iFF	9iFF.00	94101000000109	Ethnicity
142861000000114	Latin American - ethnic category 2001 census	9iFG	9iFG.00	94111000000106	Ethnicity
937941000006111	Mauritian/Seychellois/Maldivian/St Helena eth cat 2001census	9iFJ	9iFJ.00	94121000000100	Ethnicity
142881000000117	Buddhist - ethnic category 2001 census	9iF4	9iF4.00	94131000000103	Ethnicity
142891000000115	Sikh - ethnic category 2001 census	9iF8	9iF8.00	94141000000107	Ethnicity
142901000000119	Any other group - ethnic category 2001 census	9iFK	9iFK.00	94151000000105	Ethnicity
154401000000118	Caribbean - ethnic category 2001 census	9iB	9iB..00	107691000000105	Ethnicity
156921000000110	Turkish - ethnic category 2001 census	9i29	9i29.00	110401000000103	Ethnicity
157271000000119	Indian or British Indian - ethnic category 2001 census	9i7	9i7..00	110751000000108	Ethnicity
157281000000117	English - ethnic category 2001 census	9i20	9i20.00	110761000000106	Ethnicity
157291000000115	Black and White - ethnic category 2001 census	9i62	9i62.00	110771000000104	Ethnicity
157301000000116	Sinhalese - ethnic category 2001 census	9iA6	9iA6.00	110781000000102	Ethnicity
157311000000119	Black British - ethnic category 2001 census	9iD2	9iD2.00	110791000000100	Ethnicity
157351000000115	Hindu - ethnic category 2001 census	9iF5	9iF5.00	110831000000107	Ethnicity
523591000000116	Yemeni	9T3	9T3..00	296841000000102	Ethnicity
639751000000112	Born in British overseas territory	13t	13t..00	342961000000105	Ethnicity
8119431000006119	British Israelite, follower of religion	^ESCTBR811943		368051000000100	Ethnicity
713341000000111	British Israelite	13y6	13y6.00	368051000000100	Ethnicity
1063981000000117	White British - ethnic category 2001 census	9i00	9i00.00	494131000000105	Ethnicity
1064041000000111	White Irish - ethnic category 2001 census	9i10	9i10.00	494161000000100	Ethnicity
1572831000000110	Nepali	9T9	9T9..00	718131000000106	Ethnicity
852641000006114	Clinical Terms Project and Professions Allied to Medicine	EMISNQNU1		852641000006105	Ethnicity
2359751000000118	Born in British Virgin Islands	13t3	13t3.00	919051000000101	Ethnicity
2361021000000118	Born in American Samoa	13kB	13kB.00	919681000000102	Ethnicity
2361121000000119	Born in British Indian Ocean Territory	13t8	13t8.00	919731000000106	Ethnicity
2484471000000115	Ethnic category - 2011 census	9t	9t...00	976551000000109	Ethnicity
2484511000000112	Ethnic category - 2011 census England and Wales	9t0	9t0..00	976571000000100	Ethnicity
2484551000000111	Ethnic category - 2011 census Northern Ireland	9t1	9t1..00	976591000000101	Ethnicity
2484591000000115	Ethnic category - 2011 census Scotland	9t2	9t2..00	976611000000109	Ethnicity
1968051000006116	White:Eng/Welsh/Scot/NI/Brit - England and Wales 2011 census	9t00	9t00.00	976631000000101	Ethnicity
2484671000000118	White: Irish - England and Wales ethnic category 2011 census	9t01	9t01.00	976651000000108	Ethnicity
1968071000006114	White: Gypsy/Irish Traveller - Eng+Wales eth cat 2011 census	9t02	9t02.00	976671000000104	Ethnicity
1968081000006112	White: other White backgrd- Eng+Wales ethnic cat 2011 census	9t03	9t03.00	976691000000100	Ethnicity
1968091000006110	Mixed: White+Black Caribbean - Eng+Wales eth cat 2011 census	9t04	9t04.00	976711000000103	Ethnicity
1968101000006116	Mixed: White+Black African - Eng+Wales eth cat 2011 census	9t05	9t05.00	976731000000106	Ethnicity
1968111000006118	Mixed: White+Asian - Eng+Wales ethnic category 2011 census	9t06	9t06.00	976751000000104	Ethnicity
